FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 23.47sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.03sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 24.50sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 25.50sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(average 26.53sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.03sec): total=30.06 fps, number-streams=1, per-stream=30.06 fps
FpsCounter(average 27.53sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 28.53sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 29.54sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=30.05 fps, number-streams=1, per-stream=30.05 fps
FpsCounter(average 30.57sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 31.60sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 32.63sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(average 33.67sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 34.67sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 35.70sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 36.73sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(average 37.73sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 38.77sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(last 1.00sec): total=29.96 fps, number-streams=1, per-stream=29.96 fps
FpsCounter(average 39.77sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 40.80sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(average 41.83sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 42.87sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 43.87sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.04 fps, number-streams=1, per-stream=30.04 fps
FpsCounter(average 44.90sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 45.90sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.96 fps, number-streams=1, per-stream=29.96 fps
FpsCounter(average 46.93sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 47.97sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 48.97sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 50.00sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 51.00sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 52.00sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 53.00sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.96 fps, number-streams=1, per-stream=29.96 fps
FpsCounter(average 54.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 55.07sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 56.10sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 57.13sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 58.17sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 59.17sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.94 fps, number-streams=1, per-stream=29.94 fps
FpsCounter(average 60.20sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.06 fps, number-streams=1, per-stream=30.06 fps
FpsCounter(average 61.20sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 62.20sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 63.23sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 64.23sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 65.27sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(last 1.00sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 66.27sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 67.27sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 68.27sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 69.30sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 70.33sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.94 fps, number-streams=1, per-stream=29.94 fps
FpsCounter(average 71.37sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.07 fps, number-streams=1, per-stream=30.07 fps
FpsCounter(average 72.37sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 73.40sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 74.40sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.06 fps, number-streams=1, per-stream=30.06 fps
FpsCounter(average 75.44sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 76.47sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 77.47sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 78.50sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 79.50sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 80.53sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
