FpsCounter(last 1.00sec): total=59.95 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 24.37sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.04, 29.96)
FpsCounter(last 1.03sec): total=60.08 fps, number-streams=2, per-stream=30.04 fps (30.04, 30.04)
FpsCounter(average 25.40sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.04, 29.96)
FpsCounter(last 1.00sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 26.40sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.04, 29.96)
FpsCounter(last 1.03sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 27.43sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.96)
FpsCounter(last 1.03sec): total=60.06 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 28.47sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.96)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 29.47sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.03sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 30.50sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.03sec): total=60.14 fps, number-streams=2, per-stream=30.07 fps (30.07, 30.07)
FpsCounter(average 31.53sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.00sec): total=59.86 fps, number-streams=2, per-stream=29.93 fps (29.93, 29.93)
FpsCounter(average 32.54sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.03sec): total=60.08 fps, number-streams=2, per-stream=30.04 fps (30.04, 30.04)
FpsCounter(average 33.57sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 34.57sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 35.57sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (29.03, 30.97)
FpsCounter(average 36.60sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.05 fps, number-streams=2, per-stream=30.03 fps (30.99, 29.06)
FpsCounter(average 37.63sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 38.63sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.03, 29.97)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (29.05, 30.99)
FpsCounter(average 39.67sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.93 fps, number-streams=2, per-stream=29.96 fps (30.96, 28.97)
FpsCounter(average 40.67sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.97)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(average 41.70sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 42.73sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.00sec): total=59.88 fps, number-streams=2, per-stream=29.94 fps (29.94, 29.94)
FpsCounter(average 43.74sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.08 fps, number-streams=2, per-stream=30.04 fps (30.04, 30.04)
FpsCounter(average 44.77sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.00sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 45.77sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 46.80sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 47.83sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 48.87sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.00sec): total=59.92 fps, number-streams=2, per-stream=29.96 fps (29.96, 29.96)
FpsCounter(average 49.87sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.00sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (29.00, 31.00)
FpsCounter(average 50.87sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.06 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 51.90sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.86 fps, number-streams=2, per-stream=29.93 fps (30.93, 28.93)
FpsCounter(average 52.90sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.03sec): total=60.12 fps, number-streams=2, per-stream=30.06 fps (29.09, 31.03)
FpsCounter(average 53.93sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.91 fps, number-streams=2, per-stream=29.96 fps (29.96, 29.96)
FpsCounter(average 54.94sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.03 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 55.97sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.09 fps, number-streams=2, per-stream=30.04 fps (30.04, 30.04)
FpsCounter(average 57.00sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.96 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 58.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(average 59.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (30.99, 28.99)
FpsCounter(average 60.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.02, 29.98)
FpsCounter(last 1.00sec): total=59.95 fps, number-streams=2, per-stream=29.98 fps (28.98, 30.98)
FpsCounter(average 61.07sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.97 fps, number-streams=2, per-stream=29.98 fps (29.98, 29.98)
FpsCounter(average 62.10sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 63.14sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.91 fps, number-streams=2, per-stream=29.95 fps (29.95, 29.95)
FpsCounter(average 64.14sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.06 fps, number-streams=2, per-stream=30.03 fps (30.03, 30.03)
FpsCounter(average 65.17sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.98, 29.04)
FpsCounter(average 66.20sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.98)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 67.20sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.98)
FpsCounter(last 1.03sec): total=60.07 fps, number-streams=2, per-stream=30.04 fps (29.07, 31.00)
FpsCounter(average 68.23sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 69.23sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.97 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 70.23sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.14 fps, number-streams=2, per-stream=30.07 fps (30.07, 30.07)
FpsCounter(average 71.27sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.98 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 72.27sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.93 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 73.27sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
