timestamp,percent_usage
2026-07-30T06:36:07.951953,0.00
2026-07-30T06:36:08.952543,0.00
2026-07-30T06:36:09.952998,0.00
2026-07-30T06:36:10.953396,0.00
2026-07-30T06:36:11.953841,0.00
2026-07-30T06:36:12.954352,0.00
2026-07-30T06:36:13.954872,0.00
2026-07-30T06:36:14.955437,0.00
2026-07-30T06:36:15.955953,0.00
2026-07-30T06:36:16.956517,0.00
2026-07-30T06:36:17.957093,0.00
2026-07-30T06:36:18.957579,0.00
2026-07-30T06:36:19.958087,0.00
2026-07-30T06:36:20.958649,0.00
2026-07-30T06:36:21.959261,0.00
2026-07-30T06:36:22.959825,0.00
2026-07-30T06:36:23.960415,0.00
2026-07-30T06:36:24.960798,0.00
2026-07-30T06:36:25.961383,0.00
2026-07-30T06:36:26.961870,0.00
2026-07-30T06:36:27.962456,0.00
2026-07-30T06:36:28.962961,0.00
2026-07-30T06:36:29.963494,0.00
2026-07-30T06:36:30.963943,0.00
2026-07-30T06:36:31.964436,0.00
2026-07-30T06:36:32.964891,0.00
2026-07-30T06:36:33.965440,0.00
2026-07-30T06:36:34.965929,0.00
2026-07-30T06:36:35.966343,0.00
2026-07-30T06:36:36.966831,0.00
2026-07-30T06:36:37.967394,0.00
2026-07-30T06:36:38.967777,0.00
2026-07-30T06:36:39.968290,0.00
2026-07-30T06:36:40.968568,0.00
2026-07-30T06:36:41.968911,0.00
2026-07-30T06:36:42.969431,0.00
2026-07-30T06:36:43.969827,0.00
2026-07-30T06:36:44.970448,0.00
2026-07-30T06:36:45.970843,0.00
2026-07-30T06:36:46.971392,0.00
2026-07-30T06:36:47.971784,0.00
2026-07-30T06:36:48.972327,0.00
2026-07-30T06:36:49.972854,0.00
2026-07-30T06:36:50.973375,0.00
2026-07-30T06:36:51.973794,0.00
2026-07-30T06:36:52.974313,0.00
2026-07-30T06:36:53.974837,0.00
2026-07-30T06:36:54.975398,0.00
2026-07-30T06:36:55.975920,0.00
2026-07-30T06:36:56.976427,0.00
2026-07-30T06:36:57.977000,0.00
2026-07-30T06:36:58.977556,0.00
2026-07-30T06:36:59.977952,0.00
2026-07-30T06:37:00.978520,0.00
2026-07-30T06:37:01.978999,0.00
2026-07-30T06:37:02.979481,0.00
2026-07-30T06:37:03.980022,0.00
2026-07-30T06:37:04.980607,0.00
2026-07-30T06:37:05.981003,0.00
2026-07-30T06:37:06.981536,0.00
2026-07-30T06:37:07.981891,0.00
2026-07-30T06:37:08.982421,0.00
2026-07-30T06:37:09.982942,0.00
2026-07-30T06:37:10.983404,0.00
2026-07-30T06:37:11.983888,0.00
2026-07-30T06:37:12.984269,0.00
2026-07-30T06:37:13.984764,0.00
2026-07-30T06:37:14.985235,0.00
2026-07-30T06:37:15.985769,0.00
2026-07-30T06:37:16.986287,0.00
2026-07-30T06:37:17.986868,0.00
2026-07-30T06:37:18.987499,0.00
2026-07-30T06:37:19.988103,0.00
2026-07-30T06:37:20.988805,0.00
2026-07-30T06:37:21.989216,0.00
2026-07-30T06:37:22.989722,0.00
2026-07-30T06:37:23.990078,0.00
2026-07-30T06:37:24.990603,0.00
2026-07-30T06:37:25.990991,0.00
2026-07-30T06:37:26.991495,0.00
2026-07-30T06:37:27.991874,0.00
2026-07-30T06:37:28.992245,0.00
2026-07-30T06:37:29.992535,0.00
2026-07-30T06:37:30.992889,0.00
2026-07-30T06:37:31.993419,0.00
2026-07-30T06:37:32.993924,0.00
2026-07-30T06:37:33.994452,0.00
2026-07-30T06:37:34.994947,0.00
2026-07-30T06:37:35.995451,0.00
2026-07-30T06:37:36.995943,0.00
2026-07-30T06:37:37.996484,0.00
2026-07-30T06:37:38.997021,0.00
2026-07-30T06:37:39.997582,0.00
2026-07-30T06:37:40.998135,0.00
2026-07-30T06:37:41.998645,0.00
2026-07-30T06:37:42.999246,0.00
2026-07-30T06:37:43.999674,0.00
2026-07-30T06:37:45.000047,0.00
2026-07-30T06:37:46.000571,0.00
